country;RAAUC;population;RegularDeaths;2020Deaths;2021Deaths;2022Deaths;EXD2020;EXD2021;EXD2022;RDBP;IDPP2020;IDPP2021;IDPP2022;EDPP2020;EDPP2021;EDPP2022;X;Y
El Salvador;12.0;6314167.0;42222.200000000004;50778.0;2274.0;421808.39999999997;8555.799999999996;-39948.200000000004;379586.19999999995;6686.899475417739;8041.915901179046;360.14251761158675;66803.49126020899;1355.0164257613071;-6326.756957806153;60116.59178479124;8402.058418790635;0.01057993734727146
Estonia;52.0;1328701.0;15398.176245210727;15754.037735849055;59906.0;33966.66666666667;355.8614906383282;44507.82375478927;18568.490421455943;11588.894902021393;11856.721516615895;45086.140523714515;25563.81508455753;267.8266145945011;33497.245621693124;13974.920182536134;56942.86204033041;0.019239704858021126
Faroe Islands;12.0;0.0;402.2;366.0;1019035.0;52153.4;-36.19999999999999;1018632.8;51751.200000000004;inf;inf;inf;inf;-inf;inf;inf;inf;inf
Finland;52.0;5535992.0;53549.24137931034;55175.92452830189;1068.0;715164.9142857143;1626.6831489915494;-52481.24137931034;661615.6729064039;9672.926077080736;9966.763775724727;192.91935392970223;129184.60039062815;293.8376986439918;-9480.006723151035;119511.6743135474;10159.68312965443;0.023335402289350878
France;52.0;67422000.0;588850.1915708813;651800.3773584905;143586.0;1545645.0;62950.185787609196;-445264.1915708813;956794.8084291187;8733.798931667428;9667.473189144352;2129.6609415324374;22924.93548100027;933.6742574769245;-6604.13799013499;14191.13654933284;11797.13413067679;0.000340021587627188
French Guiana;52.0;0.0;890.3754789272032;939.9245283018869;531.0;135554.6666666667;49.549049374683705;-359.3754789272032;134664.2911877395;inf;inf;inf;inf;inf;-inf;inf;inf;inf
French Polynesia;12.0;304032.0;1518.0;1679.0;4517.0;9192.0;161.0;2999.0;7674.0;4992.895484685822;5522.445005788864;14856.988738027576;30233.659614777393;529.5495211030418;9864.093253341753;25240.764130091567;20379.43374381644;0.09944236006334002
Georgia;12.0;3757980.0;48179.399999999994;50537.0;118160.99999999999;34269.0;2357.600000000006;69981.59999999999;-13910.399999999994;12820.557852889051;13447.916167728406;31442.68995577411;9118.994779110055;627.3583148393567;18622.132102885058;-3701.5630737789966;44890.60612350252;0.002426568203957992
Germany;52.0;83408554.0;929511.9540229884;982552.7547169811;51354.0;29926.0;53040.80069399264;-878157.9540229884;-899585.9540229884;11144.084262904118;11779.999863287178;615.6922466249684;358.78814060246145;635.9156003830572;-10528.392016279151;-10785.296122301657;12395.692109912145;4.301574879267916e-06
Gibraltar;12.0;32670.0;276.0;270.0;155032.0;304.79999999999995;-6.0;154756.0;28.799999999999955;8448.11753902663;8264.462809917355;4745393.327211509;9329.660238751145;-183.65472910927457;4736945.209672483;881.5426997245165;4753657.790021427;0.28557270397156853
Greece;52.0;10445365.0;121532.36781609195;130457.20754716982;2333.0;42106.666666666664;8924.839731077867;-119199.36781609195;-79425.7011494253;11635.05227592257;12489.482899560697;223.35265450273877;4031.134064407195;854.4306236381273;-11411.699621419832;-7603.918211515375;12712.835554063437;0.00038592562963641724
Greenland;12.0;56243.0;498.59999999999997;519.0;529736.8;4406.666666666666;20.400000000000034;529238.2000000001;3908.066666666666;8865.103212844264;9227.81501697989;9418715.217893783;78350.49102406818;362.7118041356263;9409850.114680938;69485.3878112239;9427943.032910762;1.393070978149604
Guadeloupe;52.0;0.0;3151.478927203065;3649.8113207547167;34354.0;2418.6666666666665;498.3323935516519;31202.521072796935;-732.8122605363983;inf;inf;inf;inf;inf;inf;-inf;inf;inf
Guatemala;52.0;17608483.0;82164.38314176245;95608.37735849057;50633.0;200385.3333333333;13443.994216728126;-31531.383141762446;118220.95019157087;4666.1818137179935;5429.677125422478;2875.4890469553793;11380.045250538238;763.4953117044851;-1790.6927667626137;6713.863436820246;8305.166172377858;0.0006462819795741767
